Powiaty,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
powiat leszczyński,2020.0,117.0,87.0,3.0
powiat leszczyński,2021.0,96.0,77.0,8.0
powiat leszczyński,2022.0,89.0,65.0,6.0
powiat Siedlce,2011.0,42.0,34.0,1.0
powiat Siedlce,2012.0,37.0,32.0,1.0
powiat Siedlce,2013.0,36.0,30.0,0.0
powiat Siedlce,2014.0,38.0,31.0,1.0
powiat Siedlce,2015.0,37.0,31.0,3.0
powiat Siedlce,2016.0,27.0,26.0,1.0
powiat Siedlce,2017.0,54.0,52.0,0.0
powiat Siedlce,2018.0,77.0,62.0,1.0
powiat Siedlce,2019.0,63.0,50.0,0.0
powiat Siedlce,2020.0,40.0,37.0,2.0
powiat Siedlce,2021.0,61.0,56.0,3.0
powiat Siedlce,2022.0,44.0,44.0,1.0
powiat Leszno,2011.0,98.0,83.0,4.0
powiat Leszno,2012.0,73.0,65.0,2.0
powiat Leszno,2013.0,98.0,85.0,2.0
powiat Leszno,2014.0,161.0,126.0,4.0
powiat Leszno,2015.0,129.0,104.0,0.0
powiat Leszno,2016.0,109.0,92.0,5.0
powiat Leszno,2017.0,112.0,97.0,1.0
powiat Leszno,2018.0,110.0,101.0,1.0
powiat Leszno,2019.0,137.0,120.0,1.0
powiat Leszno,2020.0,72.0,66.0,0.0
powiat Leszno,2021.0,66.0,56.0,1.0
powiat Leszno,2022.0,51.0,49.0,1.0
powiat kolski,2011.0,77.0,78.0,21.0
powiat kolski,2012.0,90.0,84.0,8.0
powiat kolski,2013.0,104.0,93.0,8.0
powiat kolski,2014.0,70.0,68.0,8.0
powiat kolski,2015.0,64.0,66.0,11.0
powiat kolski,2016.0,46.0,49.0,10.0
powiat kolski,2017.0,40.0,40.0,3.0
powiat kolski,2018.0,33.0,33.0,3.0
powiat kolski,2019.0,47.0,49.0,9.0
powiat kolski,2020.0,45.0,47.0,5.0
powiat kolski,2021.0,50.0,49.0,8.0
powiat kolski,2022.0,63.0,61.0,8.0
powiat Łomża,2011.0,43.0,38.0,5.0
powiat Łomża,2012.0,43.0,35.0,0.0
powiat Łomża,2013.0,37.0,34.0,1.0
powiat Łomża,2014.0,29.0,28.0,4.0
powiat Łomża,2015.0,30.0,27.0,1.0
powiat Łomża,2016.0,29.0,33.0,7.0
powiat Łomża,2017.0,22.0,19.0,0.0
powiat Łomża,2018.0,25.0,23.0,1.0
powiat Łomża,2019.0,18.0,18.0,1.0
powiat Łomża,2020.0,15.0,15.0,2.0
powiat Łomża,2021.0,20.0,20.0,1.0
powiat Łomża,2022.0,21.0,17.0,0.0
powiat rawicki,2011.0,110.0,86.0,5.0
powiat rawicki,2012.0,91.0,83.0,7.0
powiat rawicki,2013.0,94.0,73.0,2.0
powiat rawicki,2014.0,85.0,67.0,2.0
powiat rawicki,2015.0,86.0,75.0,1.0
powiat rawicki,2016.0,66.0,57.0,5.0
powiat rawicki,2017.0,53.0,40.0,2.0
powiat rawicki,2018.0,72.0,64.0,5.0
powiat rawicki,2019.0,103.0,89.0,6.0
powiat rawicki,2020.0,78.0,71.0,5.0
powiat rawicki,2021.0,71.0,63.0,5.0
powiat rawicki,2022.0,73.0,57.0,2.0
powiat słupecki,2011.0,69.0,52.0,5.0
powiat słupecki,2012.0,45.0,38.0,10.0
powiat słupecki,2013.0,43.0,36.0,6.0
powiat słupecki,2014.0,42.0,47.0,13.0
powiat słupecki,2015.0,50.0,42.0,3.0
powiat słupecki,2016.0,49.0,41.0,4.0
