,,,,Number of victims of intentional homicides,,,,,,,,,,,,,,,,,,,,,,"Rates of intentional homicides per 100,000",,,,,,,,,,,,,,,,,,,,,
Asia,Eastern Asia,"China, Macao Special Administrative Region",CTS/GSH 2023 Revison/SDG/MD/Computed/NP,10,8,2,8,4,4,10,6,31,20,20,33,40,15,19,16,14,23,24,20,20,25,2.32,1.82,0.44,1.73,0.84,0.82,1.99,1.16,11.85,5.13,7.43,14.57,14.59,5.16,4.87,7.02,5.20,9.69,7.99,6.28,6.22,9.95
Americas,Latin America and the Caribbean,Colombia,UNSDC/OAS/CTS/GSH 2023 Revision/MD,53078,55680,56774.0000000001,47046,40420,73891,65133,69267,64416,65855,119586,124048,130508,147186,136888,133955,122282,114960,129153,122200,120131,138628,203.85,210.54,211.46,172.68,146.29,501.37,446.25,474.62,408.84,373.73,925.44,941.37,1122.20,1233.06,1152.25,1125.63,1084.53,738.74,919.47,903.94,859.23,956.77
Oceania,Polynesia,Cook Islands,SDG,,,,,,,,,,,,,0.6280951,,,,,,,,,,,,,,,,,,,,,,3.49,,,,,,,,,
Americas,Latin America and the Caribbean,Costa Rica,UNSDC/MoJ/CTS/SDG,498,514,516,729,696,789,1557,1628,2547,2620,2640,2391,2069,2045,3434,2885,2086,2543,3073,3194,3047,3109,18.72,18.96,18.72,24.50,22.89,25.99,95.89,92.81,215.37,222.41,216.79,188.29,145.68,135.32,189.29,81.57,53.82,62.95,338.97,342.10,296.69,250.99
Europe,Southern Europe,Croatia,MoI/CTS/UNODC Research,202,162,146,138,217,199,229,184,240,182,358,307,354,307,263,262,559,423,318,414,472,363,6.73,5.44,4.91,4.69,6.77,6.06,6.88,5.61,21.43,12.12,32.03,26.91,31.89,22.76,19.24,21.99,49.57,25.82,20.98,28.51,33.40,17.23
Americas,Latin America and the Caribbean,Cuba,MD/MoH,1174,1210,1322,1284,1320,1368,1152,1136,1030,1130,1010,1068,1242,1348,1200,1238,1144,1032,982,1000,,,15.84,16.28,17.74,17.19,17.63,18.24,15.35,15.12,13.70,15.03,13.42,14.19,16.49,17.88,15.90,16.39,15.15,13.67,13.03,13.28,,
Americas,Latin America and the Caribbean,Curaçao,PAHO,,20,78,86,82,52,36,52,,,,,,,,,,,,,,,,22.05,85.92,94.58,87.94,54.64,37.49,53.59,,,,,,,,,,,,,,
Asia,Western Asia,Cyprus,UNSDC/Eurostat/CTS,8,7,2,2,37,44,39,41,22,43,29,48,84,62,53,57,55,38,57,63,45,48,0.84,0.73,0.20,0.20,5.19,6.15,5.11,5.02,2.83,5.58,3.27,10.43,9.51,6.60,6.11,6.48,6.01,3.72,6.23,6.43,4.85,5.14
Europe,Eastern Europe,Czechia,Eurostat/UNSDC/GSH 2019 Revision/CTS/MD,382,270,278,326,411,369,381,880,992,931,828,656,796,833,758,986,765,641,213,1055,945,608,5.65,3.98,4.09,4.80,5.33,4.65,4.97,21.51,48.22,41.06,41.15,31.54,40.76,43.16,26.28,33.79,30.24,20.30,13.46,21.28,28.00,11.83
Europe,Northern Europe,Denmark,GSH 2019 Revision/UNSDC/CTS/NSO/MD/WHO,58,52,48,,,,,,,,42,46,47,48,74,62,56,71,58,66,55,47,1.09,0.97,0.89,,,,,,,,0.76,0.82,0.84,0.85,1.31,1.09,0.98,1.24,1.01,1.14,0.94,0.80
Africa,Sub-Saharan Africa,Djibouti,CTS,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,,
Americas,Latin America and the Caribbean,Dominica,UNSDC/OAS/CTS/MD,2,2,18,16,8,8,5,7,14,13,30,12,,,40,92,236,197,164,183,187,104,2.93,4.40,39.53,35.04,11.67,11.65,7.27,10.18,30.46,18.90,65.13,26.01,,,86.25,502.02,713.64,663.82,636.54,679.65,947.65,547.23
Americas,Latin America and the Caribbean,Dominican Republic,OAS/CTS/NGO/RIC,1210,1095,1279,1902,2239,5098,4916,4883,5301,5696,10007,10169,9681,1978,9500,,10604,12656,11111,10495,9904,10795,14.17,12.63,14.54,21.32,24.76,81.15,75.52,73.90,80.27,84.18,267.61,270.61,249.94,19.47,290.84,,140.01,306.11,267.57,355.03,342.76,287.15
Americas,Latin America and the Caribbean,Ecuador,UNSDC/MD/WHO Adjusted/Interpol/OAS/CTS/SDG,3666,3316,3812,2235,2715,2121,2385,4546,5214,5250,5248,4686,3844,3450,13820,10856,10106,10195,10381,10753,12460,17228,43.51,38.69,43.71,31.33,37.68,30.77,34.02,47.82,53.92,53.40,52.50,46.12,37.23,32.91,266.99,188.27,165.83,165.11,165.57,187.27,207.87,332.99
Africa,Northern Africa,Egypt,UNSDC/CTS/External,,,,471,644,4299,5391,2408,3371,3210,5578,9860,4414,,2890,1711,1532,1360,,,278,510,,,,0.62,1.24,6.08,14.30,5.32,7.16,7.11,19.00,37.81,7.21,,3.02,1.75,1.54,1.34,,,0.52,0.94
Americas,Latin America and the Caribbean,El Salvador,PAHO/NP/OAS/CTS,3551,3590,2835,3356,3897,7764,7854.00000000001,12315,11886,17148,14954,16348,11324,11903,18288,27805,41830,31282,31568,22747,12992,11272,59.60,59.95,47.16,55.68,64.57,197.37,199.79,635.15,972.83,1170.30,1092.62,1199.18,983.16,874.48,1214.33,1221.67,942.02,702.41,2015.96,1512.67,895.11,802.38
Africa,Sub-Saharan Africa,Eritrea,NSO,,,,,,,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,14.57,,,,,,,,,
Europe,Northern Europe,Estonia,MD/CTS/UNODC Research/Eurostat,286,274,284,266,197,113,91,192,172,140,249,224,239,218,151,168,99,87,112,121,174,107,31.70,30.47,31.76,30.92,21.82,17.35,14.01,22.16,19.87,16.07,61.28,58.38,59.61,50.10,38.79,45.10,36.48,29.99,31.74,29.98,49.45,28.23
Africa,Sub-Saharan Africa,Eswatini,CTS,128,184,134,135,146,139,127,121,217,187,208,172,104,102,118,112,116,130,,,,536,12.42,17.67,12.75,12.75,13.70,12.97,11.78,11.16,19.91,17.08,18.91,15.56,9.36,9.12,10.48,9.88,10.15,11.29,,,,57.70
Africa,Sub-Saharan Africa,Ethiopia,GOV Adjusted,,,,,,,,,,,,,8153,,,,,,,,,,,,,,,,,,,,,,8.63,,,,,,,,,
Europe,Northern Europe,Faroe Islands,CTS,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,
Oceania,Melanesia,Fiji,UNSDC/Interpol/NSO/External,,,,25,23,46,44,42,34,58,40,40,40,38,40,,,,,,20,,,,,2.91,2.65,7.87,7.48,7.14,5.70,9.60,6.60,6.60,6.57,6.23,6.56,,,,,,2.17,
