"freq,unit,vehicle,geo\TIME_PERIOD",1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
"A,NR,MOTO_NSP,ES",388 ,388 ,365 ,397 ,365 ,394 ,467 ,483 ,633 ,480 ,432 ,380 ,345 ,301 ,300 ,88 ,98 ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,EU27_2020",3203 ,4427 ,4700 ,4656 ,4616 ,4703 ,4887 ,4706 ,5268 ,4741 ,4613 ,2891 ,2956 ,2086 ,1937 ,1051 ,1010 ,844 ,834 ,492 ,561 ,447 ,531 p,283 p
"A,NR,MOTO_NSP,FI",13 ,10 ,16 ,22 ,23 ,22 ,32 ,26 ,32 ,36 ,27 ,18 ,29 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,FR",980 ,960 ,1086 ,1057 ,879 ,861 ,892 ,789 ,853 ,817 ,908 ,734 ,786 ,692 ,658 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,HR",: ,: ,: ,: ,: ,: ,: ,: ,96 ,100 ,81 ,51 ,76 ,62 ,49 ,44 ,58 ,: ,42 ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,HU",: ,: ,: ,: ,66 ,72 ,100 ,89 ,112 ,91 ,73 ,49 ,52 ,39 ,58 ,58 ,50 ,48 ,43 ,49 ,64 ,42 ,55 ,45 
"A,NR,MOTO_NSP,IE",43 ,40 ,50 ,44 ,55 ,49 ,56 ,29 ,33 ,29 ,25 ,17 ,18 ,19 ,26 ,24 ,22 ,22 ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,IT",569 ,770 ,848 ,907 ,1035 ,1139 ,1120 ,1127 ,1182 ,1085 ,1037 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,LT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,15 ,13 ,13 ,: ,: ,: ,: ,: ,10 ,13 
"A,NR,MOTO_NSP,LU",5 ,8 ,6 ,0 ,13 ,10 ,6 ,8 ,5 ,9 ,7 ,1 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,LV",: ,: ,: ,: ,: ,: ,: ,10 ,10 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,MT",: ,: ,: ,: ,: ,: ,3 ,2 ,4 ,3 ,2 ,3 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,NL",75 ,89 ,76 ,93 ,95 ,84 ,77 ,57 ,64 ,67 ,68 ,60 ,50 ,53 ,29 ,51 ,43 ,44 ,53 ,42 ,45 ,44 ,53 ,44 
"A,NR,MOTO_NSP,PL",: ,178 ,169 ,167 ,145 ,181 ,157 ,164 ,215 ,262 ,290 ,259 ,292 ,261 ,253 ,237 ,208 ,244 ,231 ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,PT",250 ,206 ,226 ,222 ,210 ,180 ,184 ,136 ,141 ,115 ,115 ,: ,: ,104 ,3 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,RO",12 ,15 ,9 ,13 ,8 ,19 ,23 ,35 ,73 ,90 ,74 ,59 ,69 ,62 ,52 ,45 ,55 ,46 ,52 ,55 ,51 ,64 ,62 ,61 
"A,NR,MOTO_NSP,SE",36 ,39 ,38 ,37 ,47 ,56 ,46 ,55 ,60 ,51 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,2 ,3 
"A,NR,MOTO_NSP,SI",: ,19 ,36 ,18 ,25 ,27 ,33 ,42 ,41 ,40 ,28 ,17 ,25 ,18 ,17 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MOTO_NSP,SK",: ,: ,33 ,37 ,35 ,34 ,45 ,37 ,54 ,39 ,34 ,27 ,: ,: ,: ,: ,: ,: ,: ,: ,21 ,23 ,23 ,19 
"A,NR,MOTO_NSP,UK",539 ,597 ,580 ,607 ,690 ,581 ,561 ,583 ,596 ,488 ,472 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,MTZ_OTH,AT",2 ,3 ,1 ,5 ,1 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,4 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
"A,NR,MTZ_OTH,BE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 
"A,NR,MTZ_OTH,BG",: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,0 ,7 ,8 ,11 ,10 ,12 ,18 ,5 ,11 ,10 ,12 ,10 ,15 ,4 
"A,NR,MTZ_OTH,CH",: ,: ,1 ,1 ,1 ,1 ,2 ,0 ,4 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,7 ,11 ,8 ,5 ,9 
"A,NR,MTZ_OTH,CY",: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,2 ,3 
"A,NR,MTZ_OTH,CZ",2 ,1 ,0 ,1 ,2 ,0 ,1 ,1 ,0 ,2 ,1 ,1 ,2 ,1 ,1 ,3 ,4 ,1 ,1 ,1 ,5 ,2 ,2 ,4 
"A,NR,MTZ_OTH,DE",: ,19 ,27 ,27 ,31 ,21 ,17 ,20 ,17 ,17 ,18 ,19 ,18 ,18 ,11 ,9 ,18 ,13 ,15 ,20 ,18 ,22 ,19 ,18 
"A,NR,MTZ_OTH,DK",1 ,2 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,2 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,1 ,2 ,1 ,0 ,3 ,1 ,1 
"A,NR,MTZ_OTH,EE",: ,: ,: ,: ,: ,: ,2 ,0 ,2 ,1 ,0 ,: ,: ,: ,: ,: ,: ,0 ,0 ,2 ,1 ,0 ,2 ,0 
"A,NR,MTZ_OTH,EL",3 ,0 ,1 ,1 ,1 ,1 ,1 ,2 ,0 ,3 ,1 ,1 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: 
"A,NR,MTZ_OTH,ES",3 ,5 ,2 ,13 ,5 ,1 ,3 ,1 ,0 ,1 ,4 ,1 ,2 ,2 ,1 ,9 ,6 ,11 ,5 ,13 ,9 ,14 ,6 ,3 
"A,NR,MTZ_OTH,EU27_2020",121 ,122 ,135 ,128 ,134 ,105 ,114 ,102 ,96 ,81 ,97 ,83 ,86 ,103 ,74 ,146 ,144 ,163 ,161 ,196 ,167 ,149 ,148 p,156 p
"A,NR,MTZ_OTH,FI",6 ,5 ,5 ,3 ,1 ,1 ,2 ,2 ,5 ,2 ,5 ,5 ,3 ,8 ,3 ,8 ,4 ,5 ,10 ,4 ,4 ,3 ,5 ,3 
"A,NR,MTZ_OTH,FR",: ,: ,: ,: ,: ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,33 ,39 ,40 ,39 ,39 ,32 ,19 ,16 ,34 
"A,NR,MTZ_OTH,HR",: ,: ,: ,: ,: ,: ,: ,: ,6 ,4 ,4 ,4 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,1 ,0 ,1 ,0 
"A,NR,MTZ_OTH,HU",: ,: ,: ,: ,2 ,1 ,0 ,0 ,2 ,0 ,0 ,8 ,2 ,5 ,4 ,3 ,0 ,6 ,1 ,4 ,1 ,2 ,0 ,3 
"A,NR,MTZ_OTH,IE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,1 ,2 ,2 ,: ,: 
"A,NR,MTZ_OTH,IS",: ,: ,: ,: ,: ,0 ,1 ,0 ,0 ,: ,: ,0 ,: ,: ,: ,: ,0 ,0 ,: ,: ,: ,: ,: ,0 
"A,NR,MTZ_OTH,IT",62 ,40 ,48 ,32 ,35 ,40 ,28 ,35 ,25 ,22 ,27 ,8 ,12 ,12 ,18 ,14 ,8 ,9 ,17 ,15 ,12 ,12 ,14 ,13 
"A,NR,MTZ_OTH,LT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 
"A,NR,MTZ_OTH,LU",1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"A,NR,MTZ_OTH,LV",: ,: ,: ,: ,: ,0 ,: ,0 ,0 ,1 ,3 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,2 ,2 ,1 ,: ,: 
"A,NR,MTZ_OTH,MT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: 
"A,NR,MTZ_OTH,NL",0 ,1 ,0 ,1 ,0 ,10 ,5 ,3 ,1 ,2 ,3 ,4 ,2 ,4 ,4 ,14 ,15 ,18 ,12 ,19 ,17 ,18 ,15 ,27 
"A,NR,MTZ_OTH,NO",: ,: ,2 ,2 ,4 ,6 ,2 ,1 ,4 ,6 ,4 ,4 ,3 ,3 ,2 ,4 ,1 ,9 ,2 ,2 ,2 ,4 ,3 ,10 
"A,NR,MTZ_OTH,PL",: ,5 ,11 ,4 ,4 ,3 ,4 ,6 ,2 ,1 ,0 ,0 ,2 ,1 ,1 ,5 ,4 ,12 ,0 ,5 ,8 ,5 ,7 ,7 
"A,NR,MTZ_OTH,PT",9 ,5 ,4 ,0 ,4 ,4 ,7 ,3 ,6 ,3 ,2 ,10 ,4 ,16 ,8 ,17 ,11 ,11 ,9 ,19 ,17 ,12 ,18 ,5 
"A,NR,MTZ_OTH,RO",29 ,34 ,26 ,35 ,17 ,14 ,35 ,18 ,21 ,10 ,18 ,8 ,20 ,15 ,7 ,11 ,13 ,8 ,9 ,13 ,18 ,15 ,15 ,22 
"A,NR,MTZ_OTH,SE",3 ,1 ,6 ,2 ,3 ,5 ,6 ,4 ,5 ,9 ,6 ,4 ,7 ,1 ,3 ,4 ,0 ,2 ,3 ,6 ,3 ,8 ,9 ,8 
"A,NR,MTZ_OTH,SI",: ,1 ,0 ,1 ,26 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
"A,NR,MTZ_OTH,SK",: ,: ,3 ,3 ,2 ,1 ,1 ,2 ,3 ,0 ,1 ,0 ,: ,: ,: ,: ,: ,16 ,25 ,20 ,0 ,0 ,0 ,0 
"A,NR,MTZ_OTH,UK",14 ,8 ,13 ,15 ,13 ,17 ,13 ,18 ,21 ,27 ,16 ,0 ,1 ,3 ,5 ,9 ,8 ,15 ,6 ,13 ,: ,: ,: ,: 
"A,NR,NMTZ_OTH,AT",1 ,1 ,0 ,1 ,3 ,0 ,0 ,1 ,1 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,3 ,1 ,6 
"A,NR,NMTZ_OTH,BE",1 ,1 ,2 ,1 ,1 ,1 ,1 ,0 ,2 ,0 ,1 ,1 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,2 ,1 ,0 ,0 ,0 
"A,NR,NMTZ_OTH,BG",: ,: ,: ,: ,: ,: ,: ,: ,: ,10 ,7 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,2 ,2 ,11 
"A,NR,NMTZ_OTH,CH",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,5 ,0 ,2 ,0 ,4 
"A,NR,NMTZ_OTH,CZ",3 ,0 ,1 ,1 ,2 ,1 ,1 ,0 ,2 ,2 ,0 ,1 ,1 ,1 ,0 ,1 ,5 ,0 ,2 ,1 ,1 ,1 ,1 ,2 
"A,NR,NMTZ_OTH,DE",: ,5 ,6 ,4 ,6 ,3 ,11 ,2 ,4 ,1 ,3 ,6 ,3 ,1 ,4 ,4 ,6 ,4 ,3 ,6 ,3 ,1 ,0 ,4 
"A,NR,NMTZ_OTH,DK",1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,NMTZ_OTH,EE",: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,9 ,13 ,8 ,9 ,2 ,4 ,: ,0 ,0 ,1 ,0 ,0 ,0 
"A,NR,NMTZ_OTH,EL",0 ,0 ,0 ,1 ,1 ,0 ,0 ,4 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: 
"A,NR,NMTZ_OTH,ES",4 ,2 ,1 ,1 ,3 ,1 ,0 ,1 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,3 ,3 ,2 ,11 ,5 ,9 ,3 ,6 ,6 
"A,NR,NMTZ_OTH,EU27_2020",71 ,103 ,83 ,80 ,90 ,72 ,94 ,91 ,82 ,98 ,113 ,95 ,80 ,80 ,75 ,67 ,88 ,55 ,63 ,78 ,61 ,58 ,51 p,64 p
"A,NR,NMTZ_OTH,FI",1 ,2 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,: ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
"A,NR,NMTZ_OTH,FR",1 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,NMTZ_OTH,HR",: ,: ,: ,: ,: ,: ,: ,: ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 
"A,NR,NMTZ_OTH,HU",: ,: ,: ,: ,3 ,6 ,7 ,6 ,6 ,6 ,8 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,NMTZ_OTH,IE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,: ,0 ,: ,: 
"A,NR,NMTZ_OTH,IS",: ,: ,: ,0 ,0 ,: ,0 ,: ,: ,: ,0 ,0 ,0 ,0 ,: ,0 ,: ,: ,: ,: ,0 ,0 ,0 ,0 
"A,NR,NMTZ_OTH,IT",2 ,5 ,2 ,2 ,0 ,2 ,2 ,1 ,2 ,6 ,1 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,NMTZ_OTH,LT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,0 ,0 ,0 ,2 ,3 ,4 ,0 ,0 
"A,NR,NMTZ_OTH,LU",: ,0 ,0 ,: ,: ,0 ,: ,0 ,1 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: 
"A,NR,NMTZ_OTH,LV",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,0 ,0 ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,: 
"A,NR,NMTZ_OTH,MT",: ,: ,: ,: ,: ,: ,0 ,: ,: ,0 ,0 ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: 
"A,NR,NMTZ_OTH,NL",0 ,2 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,NMTZ_OTH,NO",: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,0 
"A,NR,NMTZ_OTH,PL",: ,16 ,7 ,9 ,10 ,7 ,3 ,1 ,2 ,0 ,1 ,5 ,2 ,0 ,2 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,NMTZ_OTH,PT",1 ,2 ,3 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"A,NR,NMTZ_OTH,RO",56 ,67 ,58 ,56 ,58 ,49 ,65 ,73 ,58 ,69 ,85 ,69 ,60 ,67 ,58 ,55 ,68 ,46 ,44 ,60 ,39 ,44 ,36 ,35 
"A,NR,NMTZ_OTH,SE",0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,0 ,: 
"A,NR,NMTZ_OTH,SI",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 
"A,NR,NMTZ_OTH,SK",: ,: ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,: ,: ,: ,: ,: ,1 ,0 ,1 ,0 ,0 ,0 ,0 
"A,NR,NMTZ_OTH,UK",3 ,5 ,7 ,2 ,11 ,8 ,7 ,12 ,2 ,2 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,0 ,0 ,: ,: ,: ,: 
"A,NR,OTH,AT",182 ,140 ,117 ,160 ,132 ,132 ,97 ,110 ,108 ,102 ,101 ,98 ,87 ,81 ,82 ,71 ,84 ,73 ,73 ,47 ,69 ,51 ,37 ,49 
"A,NR,OTH,BE",154 ,142 ,158 ,127 ,113 ,101 ,108 ,122 ,104 ,99 ,101 ,108 ,115 ,117 ,109 ,107 ,94 ,81 ,95 ,74 ,92 ,65 ,75 ,83 
"A,NR,OTH,BG",: ,: ,: ,: ,: ,: ,: ,: ,: ,278 ,198 ,174 ,149 ,135 ,108 ,156 ,164 ,118 ,157 ,123 ,154 ,94 ,94 ,94 
"A,NR,OTH,CH",: ,: ,104 ,96 ,91 ,95 ,69 ,76 ,79 ,59 ,60 ,75 ,69 ,75 ,69 ,43 ,58 ,50 ,47 ,43 ,37 ,36 ,37 ,36 
"A,NR,OTH,CY",: ,: ,: ,: ,: ,: ,23 ,19 ,17 ,16 ,9 ,13 ,13 ,10 ,8 ,10 ,16 ,14 ,15 ,8 ,13 ,13 ,6 ,6 
"A,NR,OTH,CZ",342 ,362 ,322 ,308 ,290 ,281 ,298 ,202 ,232 ,238 ,176 ,168 ,176 ,163 ,162 ,130 ,150 ,130 ,129 ,142 ,111 ,95 ,104 ,86 
"A,NR,OTH,DE",: ,993 ,900 ,873 ,812 ,838 ,686 ,711 ,695 ,653 ,591 ,476 ,614 ,527 ,561 ,527 ,545 ,500 ,489 ,464 ,421 ,379 ,344 ,375 
"A,NR,OTH,DK",82 ,99 ,49 ,63 ,49 ,43 ,44 ,60 ,68 ,58 ,52 ,44 ,33 ,31 ,34 ,22 ,27 ,36 ,20 ,30 ,30 ,23 ,19 ,28 
"A,NR,OTH,EE",: ,: ,: ,: ,: ,: ,50 ,64 ,38 ,41 ,23 ,14 ,26 ,29 ,23 ,26 ,24 ,22 ,10 ,12 ,11 ,14 ,13 ,11 
"A,NR,OTH,EL",399 ,375 ,338 ,279 ,257 ,293 ,234 ,267 ,255 ,248 ,202 ,179 ,223 ,170 ,151 ,125 ,128 ,149 ,118 ,146 ,145 ,76 ,95 ,: 
"A,NR,OTH,ES",906 ,898 ,845 ,770 ,785 ,685 ,676 ,609 ,588 ,498 ,471 ,472 ,377 ,368 ,370 ,334 ,367 ,389 ,351 ,386 ,381 ,260 ,301 ,348 
"A,NR,OTH,EU27_2020",5770 ,8974 ,8461 ,8619 ,7849 ,8059 ,7515 ,7401 ,7614 ,7473 ,6413 ,5852 ,5763 ,5227 ,5199 ,5140 ,4910 ,4957 ,4854 ,4758 ,4623 ,3604 ,3509 p,3548 p
"A,NR,OTH,FI",67 ,62 ,62 ,40 ,59 ,49 ,45 ,49 ,48 ,53 ,30 ,35 ,41 ,29 ,34 ,36 ,32 ,29 ,27 ,25 ,15 ,22 ,24 ,27 
"A,NR,OTH,FR",929 ,836 ,818 ,863 ,623 ,580 ,635 ,535 ,561 ,548 ,496 ,485 ,519 ,489 ,465 ,495 ,466 ,553 ,480 ,468 ,476 ,388 ,401 ,482 
"A,NR,OTH,HR",: ,: ,: ,: ,: ,: ,: ,: ,124 ,136 ,103 ,105 ,71 ,72 ,69 ,73 ,61 ,67 ,56 ,65 ,61 ,38 ,37 ,43 
"A,NR,OTH,HU",: ,: ,: ,: ,299 ,326 ,289 ,296 ,288 ,251 ,186 ,192 ,124 ,156 ,147 ,152 ,149 ,152 ,170 ,165 ,144 ,109 ,97 ,126 
"A,NR,OTH,IE",92 ,85 ,89 ,86 ,64 ,66 ,72 ,72 ,81 ,49 ,40 ,44 ,47 ,29 ,31 ,41 ,31 ,35 ,31 ,40 ,27 ,33 ,: ,: 
"A,NR,OTH,IS",: ,: ,: ,1 ,3 ,3 ,1 ,4 ,1 ,0 ,2 ,2 ,4 ,2 ,1 ,0 ,1 ,2 ,0 ,0 ,1 ,0 ,2 ,4 
"A,NR,OTH,IT",847 ,982 ,1032 ,1226 ,871 ,810 ,786 ,758 ,627 ,646 ,667 ,621 ,589 ,576 ,551 ,578 ,602 ,570 ,600 ,612 ,534 ,409 ,471 ,485 
"A,NR,OTH,LT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,96 ,109 ,81 ,72 ,69 ,71 ,59 ,52 ,28 ,31 
"A,NR,OTH,LU",2 ,11 ,11 ,6 ,7 ,12 ,2 ,10 ,7 ,6 ,12 ,1 ,6 ,6 ,5 ,3 ,7 ,8 ,4 ,3 ,2 ,4 ,5 ,3 
"A,NR,OTH,LV",: ,: ,: ,: ,: ,197 ,174 ,153 ,158 ,105 ,82 ,79 ,60 ,62 ,70 ,71 ,63 ,55 ,51 ,50 ,40 ,43 ,: ,: 
"A,NR,OTH,MT",: ,: ,: ,: ,: ,: ,6 ,4 ,3 ,1 ,: ,: ,: ,: ,: ,: ,5 ,8 ,7 ,2 ,5 ,1 ,4 ,: 
"A,NR,OTH,NL",111 ,106 ,106 ,97 ,97 ,68 ,83 ,66 ,86 ,56 ,63 ,62 ,65 ,64 ,51 ,50 ,60 ,44 ,64 ,50 ,49 ,35 ,43 ,62 
"A,NR,OTH,NO",: ,: ,45 ,35 ,34 ,22 ,32 ,36 ,23 ,31 ,26 ,24 ,16 ,22 ,18 ,18 ,12 ,15 ,11 ,13 ,13 ,15 ,7 ,12 
"A,NR,OTH,PL",: ,2256 ,1866 ,1987 ,1879 ,1987 ,1756 ,1802 ,1951 ,1882 ,1467 ,1236 ,1408 ,1157 ,1140 ,1116 ,915 ,868 ,873 ,803 ,793 ,631 ,527 ,460 
"A,NR,OTH,PT",393 ,384 ,333 ,336 ,277 ,231 ,212 ,153 ,155 ,154 ,147 ,195 ,199 ,159 ,144 ,145 ,146 ,123 ,130 ,163 ,140 ,101 ,100 ,107 
"A,NR,OTH,RO",1178 ,1110 ,1088 ,1101 ,944 ,1059 ,978 ,1034 ,1113 ,1067 ,1015 ,868 ,747 ,728 ,726 ,697 ,649 ,717 ,733 ,690 ,729 ,587 ,583 ,530 
"A,NR,OTH,SE",86 ,73 ,87 ,58 ,55 ,67 ,50 ,55 ,58 ,45 ,44 ,31 ,53 ,50 ,42 ,52 ,28 ,42 ,37 ,34 ,27 ,25 ,26 ,27 
"A,NR,OTH,SI",: ,60 ,42 ,41 ,38 ,35 ,37 ,36 ,32 ,39 ,24 ,26 ,21 ,19 ,20 ,14 ,16 ,22 ,10 ,13 ,15 ,7 ,15 ,15 
"A,NR,OTH,SK",: ,: ,198 ,198 ,198 ,199 ,174 ,214 ,217 ,204 ,113 ,126 ,: ,: ,: ,: ,: ,80 ,55 ,72 ,80 ,49 ,60 ,70 
"A,NR,OTH,UK",909 ,889 ,858 ,808 ,802 ,694 ,699 ,697 ,663 ,591 ,524 ,415 ,466 ,429 ,405 ,464 ,427 ,463 ,485 ,472 ,: ,: ,: ,: 
"A,NR,QUA_GT50,AT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 
"A,NR,QUA_GT50,EE",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,0 ,1 ,0 ,0 ,1 ,0 
"A,NR,QUA_GT50,ES",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,1 ,3 ,2 ,4 ,1 ,2 ,2 ,2 
"A,NR,QUA_GT50,EU27_2020",: ,: ,: ,: ,: ,: ,: ,: ,: ,3 ,: ,: ,0 ,0 ,0 ,18 ,18 ,24 ,29 ,25 ,28 ,30 ,26 p,27 p
"A,NR,QUA_GT50,FR",: ,: ,: ,: ,: ,: ,: ,: ,: ,3 ,: ,: ,: ,: ,: ,18 ,16 ,17 ,22 ,11 ,19 ,19 ,14 ,11 
"A,NR,QUA_GT50,HR",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,: ,2 ,0 ,0 ,0 ,0 
"A,NR,QUA_GT50,IS",: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
"A,NR,QUA_GT50,LT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2 ,3 ,1 ,4 ,0 ,1 ,5 
"A,NR,QUA_GT50,LU",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,: 
"A,NR,QUA_GT50,MT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,1 ,0 ,: ,0 ,0 ,: 
"A,NR,QUA_GT50,PL",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,4 ,4 ,8 ,6 ,9 
"A,NR,QUA_GT50,SI",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 
"A,NR,QUA_GT50,SK",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,1 ,0 ,1 ,1 ,0 
"A,NR,QUA_LE50,AT",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3 ,1 ,2 ,1 ,3 
"A,NR,QUA_LE50,BG",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,: ,: 
"A,NR,QUA_LE50,ES",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2 ,1 ,0 ,3 ,1 ,0 ,1 ,2 ,0 
